txt file,lines,sentence,leave out,meaning,construction,subject,causer type,theme type,theme phrase,notes
wlp_fic_1998.txt,152918-152942,"Cue bagpipes: lilt and tone of it, calculated to break down resistance.",,break_down_destroy,causative,underlying,,state,resistance,
wlp_spok_2010.txt,3773116-3773160,"@!ROBIN-ROBERTS-@1-A#@(Off-camera) So those, I ca n't break through this chronic life that I have, what do you say to them?@!DEANNA-FAVRE-@1CO-# You have to not let the struggle define you.",,break_through_pass_through,unergative,underlying,,,,
wlp_news_2005.txt,1093799-1093826,"Many of Cassandra's classmates spent spring break this year in Puerto Vallarta, and her best friend got a $1,200 Louis Vuitton handbag for her birthday.",Yes:noun,,,,,,,
wlp_news_1993.txt,2728464-2728482,I had the impression the scumbag was already seeing someone else so I had to break it off.,,break_off_end,causative,underlying,,abstract,it,break a relationship
wlp_spok_2003.txt,524520-524540,She has a 15-footer for birdie. qwq! SORENSTAM: It did nt break as much as I thought.,,unclassified,unaccusative,promoted,,,,
wlp_news_2004.txt,225159-225215,"A5)##3003642 Two months before the invasion of Iraq, Secretary of State Colin L. Powell warned President Bush about the potential negative consequences of a war, citing what Mr. Powell privately called the"" you break it, you own it"" rule of military action, according to a new book.",,separate_into_parts,causative,underlying,human,human,it,
wlp_spok_1992.txt,2120074-2120122,"Air hose hooks up, then the-- symbolizing the wheels of the old steam engines from 100 years ago... Uncle FREDDY: Then when you break air... Captain COOK: When your-- when the-- when a car is uncoupled, they break air.",,unclassified,causative,underlying,human,,,
wlp_mag_2004.txt,61551-61623,"""Maybe Pedro figured, Why bother? Why break down the tendencies of a World Series opponent when you can command the baseball like a yo-yo on a string? Why clutter the mind with scouting reports when it is the men with the bats in their hands who should be on the defensive? In the first World Series start of his brilliant career, Martinez rose to the occasion.",,break_down_destroy,causative,underlying,,abstract,the tendencies of a World Series opponent,
wlp_spok_2009.txt,2427690-2427701,Feds break up a homegrown terror cell that will surprise you.,,break_up_destroy,causative,underlying,,animate,a homegrown terror cell,"animate, artificial, telic, b_set"
wlp_spok_2009.txt,2549502-2549529,"The skin surface is a protective barrier, and when you break it down, these nerve endings are exposed, and so its like raw nerves.",,break_down_destroy,causative,underlying,,body part,it,"inanimate, natural, homogenous"
wlp_spok_2008.txt,3445558-3445605,"@!VIEIRA: Let's break some of that down, beginning with-- I'll get to the physical ailments but let's start with this whole empty nest syndrome because you would assume when the kids are finally out of the house...@!Dr-BERMAN: Mm-hmm.",,break_down_separate_into_parts,causative,underlying,,abstract,that,
wlp_mag_2011.txt,938120-938157,Ham-handed and overly aggressive behavior by local police toward the Muslim community could break the trust necessary for this kind of information to flow the coming years.,,end,causative,underlying,dynamic,state,the trust necessary for this kind of information to flow the coming years,
wlp_acad_1997.txt,974342-974408,"This section discusses Henderson's adventures in Africa inside the Menippea's most important characteristic, the creation of"" extraordinary situations in which to provoke and test a philosophical idea"" 5 Henderson's last test is preceded by several carnivalistic performances relativity and break the monological seriousness of his quest for the truth.",,end,causative,underlying,dynamic,property,the monological seriousness of his quest for the truth,
wlp_fic_2011.txt,437758-437793,"But she'd never even had the nerve to get close enough to look in when she was a teenager, and it had been a right of passage to break into the decaying house.",,break_into_intrude,unergative,underlying,,,,
wlp_mag_2002.txt,2863785-2863818,By espousing patriotism and abjuring multiculturalism in education-- something of which the European left seems constitutionally incapable-- the right can counter worries that immigration will break the continuity of national culture.,,end,causative,underlying,dynamic,state,the continuity of national culture,
wlp_acad_1990.txt,1244766-1244840,"Here almost everyone was a newcomer, working in new surroundings in new jobs state with probably the lowest levels of attachment to community (in the inner city, ethnic, old world sense), with the greatest amount of mobility (whether between jobs or commuting), California was the large state most likely to break free from collectivism.",,break_free_escape,unergative,underlying,,,,
wlp_spok_1997.txt,3015735-3015769,"There's a young lady backstage, Amanda; she had to look up the word fornication' in the dictionary to even know that she-- what she did to break the law.",,violate,causative,underlying,human,rule object,the law,"inanimate, artificial, telic, atomic"
wlp_news_2009.txt,1831919-1831949,"People think it's boring, and only fat men in suits play it, so I break that signal and show them chess is cool,"" she says.",,end,causative,underlying,human,abstract,that signal,
wlp_spok_1996.txt,2369930-2369953,"BRIAN ROSS: Will you break the law for a client? FRANK MONTE: No, we do n't break the law.",,violate,causative,underlying,human,rule object,the law,"inanimate, artificial, telic, atomic"
wlp_spok_2007.txt,2282060-2282105,"I was reading- I was writing at that time a lot of negative stories: the world is going to to break out, some stuff that Sal Ivone used to call recreational terror.",Yes:incomplete,,,,,,,
wlp_spok_1992.txt,1189330-1189403," And as you get, you know, the better photographs, they just break down and say, I never thought it could happen to me.'@!RIVERA: So, did you go right to divorce court?@!TIM: We went into: Do you still love her?@!TIM: No.@!RIVERA: We'll be right back.",,break_down_succumb,unaccusative,promoted,,human,they,
wlp_news_2004.txt,2619983-2620010,"""Two hapless acting students, inexplicably named Lucy and Desi, break into a movie star's house to snap a photo of her Academy Award.",,break_into_intrude,unergative,underlying,,,,
wlp_fic_2003.txt,4621888-4621930,(MORE) STEVE (CONT'D) Now tell me who you're working with we'll go for a ride and I'll break every bone in your body.,,separate_into_parts,causative,underlying,human,body part,every bone in your body,"inanimate, natural, functional, atomic"
wlp_spok_1994.txt,4144026-4144063,"They're not going along with the law, and I'm not saying-- And when you break the law, you've got to pay.",,violate,causative,underlying,human,rule object,the law,
wlp_mag_2004.txt,3904682-3904695,The amount of force required to break the stone depends on its thickness.,,separate_into_parts,causative,underlying,abstract,natural,the stone,"inanimate, natural, non-telic, atomic"
wlp_news_2010.txt,117096-117117,It would also break a stalemate; New York has not had a major new overhead power line in 20 years.,,end,causative,underlying,abstract,state,the stalemate,"desirable that it is broken; ""it"" refers to a submarine power line"
wlp_acad_2000.txt,3459984-3460014,"This way of proceeding must lead us, in other words, to break the text that Fried leaves underexamined.",Yes:incomplete,,,,,,,
wlp_news_2010.txt,1376692-1376754,"GM repaid $6.7 billion that the government considered loans, with the remaining $43.3 billion converted to a 61 percent stake in the automaker. For the Treasury to break even, GM will have to make a lot more money and show prospects for even more profits in the future for its shares to be worth enough to cover the debt.",,break_even_profit=loss,unergative,underlying,,,,
wlp_spok_1993.txt,691911-691931,"There-- again, there are people who make arrangements with far less money and do n't break the law.",,violate,causative,underlying,human,rule object,the law,
wlp_fic_1993.txt,501639-501669,"""What terrifies me,"" says the black woman with the stroller in the waiting room,"" is that one day my niceness is gon na break.",,end,unaccusative,promoted,NA,property,my niceness,
wlp_spok_2006.txt,2734723-2734739,"If you deprive yourself, you're going to break your diet and fall off it.",,violate,causative,underlying,human,rule object,your diet,
wlp_mag_1994.txt,4848562-4848583,"During this period, discouraged by Bolivar's poor opinion of his fiancee, Sucre was tempted to break his engagement.",,end,causative,underlying,human,abstract,his engagement,break a relationship
wlp_mag_2005.txt,520852-520871,"Still half dazed from his first accident, he forgot to make a fist to break his forward fall.",,lessen,causative,underlying,human,dynamic,his forward fall,break one's fall
wlp_spok_2004.txt,3044989-3044997,"Wind storms can break them, lightning strikes.",,separate_into_parts,causative,underlying,natural force,natural,them,"inanimate, natural, atomic"
wlp_mag_2001.txt,1803197-1803221,"Back then, I was struggling to break out of the handcuffs, but also struggling to make people take this stuff more seriously.",,break_out_escape,unergative,underlying,,human,I,
wlp_spok_1992.txt,2803343-2803361,"In South Africa today, the referendum that President de Klerk says will make or break the country.",,cause_to_fail,causative,underlying,dynamic,human,the country,
wlp_spok_1999.txt,90324-90470,"So are we where we have the conventional science and then we have spiritual science, which has a chance to give us answers to things that we ca n't-- like you were saying, if you want to break an atom, you have to make a machine so big that it's impossible, but I believe that we have the capacity within our spiritual side to do and to go places that you ca n't, you were saying time only go forward, but a very simple idea that I wanted to throw out is that if you think back in your head and you bring memories and you think about stuff from the past, are you going back in time? And that's all I wanted to say.",,separate_into_parts,causative,underlying,human,natural,an atom,"inanimate, natural, atomic"
wlp_spok_1998.txt,4692724-4692741,And NATO edged closer to strikes against Serb military targets to break up the fighting in Kosovo.,,break_up_end,causative,underlying,human,dynamic,the fighting in Kosovo,
wlp_mag_2004.txt,2136956-2136978,"Everything will break at some point because sun, water, friction, heat, and other forces are constantly at work.",,render_inoperable,unaccusative,promoted,NA,artificial,everything,"causer is natural forces:  sun, water, friction, heat, and other forces"
wlp_fic_2003.txt,1284364-1284372,I offer my heart to break your silence.,,end,causative,underlying,human,state,your silence,
wlp_fic_1992.txt,1249771-1249799,"I packed a few odds and ends of clothing and trinkets, then went around the house gathering anything that I thought would break my heart to lose.",,experience_sorrow,causative,underlying,artificial,abstract,my heart,body part in metaphorical sense
wlp_acad_1998.txt,2679654-2679688,"""By learning about the concerns of gay and lesbian youth, middle and high school educators can break the barrier of silence that contributes to the difficulties and hurt of these teens.",,destroy,causative,underlying,human,abstract,the barrier of silence that contributes to the difficulties and hurt of these teens.,obstacle
wlp_acad_2003.txt,3344056-3344076,It costs a certain energy to break the superconducting pairs in a surface region characterized by the coherence length?.,,separate_into_parts,causative,underlying,natural force,abstract,the superconducting pairs,"causer: inanimate, natural; theme: inanimate, natural; link between pairs is broken, not pairs themselves"
wlp_news_2009.txt,2051098-2051112,"Taylor estimates he would have to sell about 1,500 copies to break even.",,break_even_profit=loss,unergative,underlying,,,,
wlp_news_2008.txt,1435825-1435860,"It emanated from those loping, waist-high strides 6-foot-5 Usain Bolt churned with his golden spikes untied lace and all to win the 100-meter Olympic gold medal and break his own world record Saturday night.",,surpass,causative,underlying,human,abstract,his own world record,record
wlp_spok_1997.txt,2480353-2480387,"And, finally, what we have, and the American people should be happy about this, is a Supreme Court who did n't break down along party lines, treated this seriously.",,break_down_separate_into_parts,unaccusative,promoted,,organization,Supreme Court,
wlp_mag_1993.txt,442282-442297,"If you're using frozen fruit, defrost just enough to break up the berries.",,break_up_separate_into_parts,causative,underlying,,natural,the berries,"inanimate, natural, atomic"
wlp_news_2007.txt,2694789-2694811,"What also helped break his rift with God was a cartoon his father, Joe Biden Sr., gave him.",,end,causative,underlying,abstract,state,his rift with God,desirable that it is broken
wlp_mag_1998.txt,4881124-4881165,"Why did n't the U.S. lift the arms embargo, or simply break it so as to arm the Bosnians themselves? That, after all, was what both Clinton and the congressional Republicans wanted to do in 1993-4.",,end,causative,underlying,human,abstract,it,"""It"" stands for ""embargo""."
wlp_fic_1990.txt,3715981-3716003,"And if we do n't make enough of him, Alexa will think we, disapprove and that will break her heart.",,experience_sorrow,causative,underlying,dynamic,abstract,her heart,body part in metaphorical sense
wlp_fic_2011.txt,3802743-3802755,I told Hanne to break things off with Todd a long time ago.,,break_off_end,causative,underlying,,abstract,things,
wlp_fic_2000.txt,2514865-2514878,"Some did n't break rank, and that was a far greater bungle.",,show_disagreement_with_group,causative,underlying,human,abstract,rank,break rank
wlp_fic_2007.txt,3496955-3496969,"When the prylar suggested that they break for a meal, Jake was relieved.",,break_for_pause,unergative,underlying,human,NA,NA,break for
wlp_fic_2001.txt,2403491-2403524,"In two-birds (he'd been known to tell this one when he'd had a couple longnecks), you split your lead on an ax-blade to break two bottles at once.",,separate_into_parts,causative,underlying,human,artificial,two bottles,"inanimate, artificial, telic, atomic; glass"
wlp_fic_2011.txt,2801010-2801043,"""Why do n't you just tell your father the truth?"""" If I'm not married by the time he wakes up tomorrow, I'll break his heart.",,experience_sorrow,causative,underlying,human,abstract,his heart,body part in metaphorical sense
wlp_news_2011.txt,1765257-1765289,"They took us even though we insulted them... and screamed out for help (nobody came)... They took us cautiously, as though they were afraid we might break.",,separate_into_parts,unaccusative,promoted,NA,human,we,break emotionally
wlp_spok_2004.txt,1602879-1602902,"@!JOHNNIE-COCHRAN-JU# Well, unfortunately, I do n't want to break any illusions out there, but the color of justice is green.",,separate_into_parts,causative,underlying,human,abstract,any illusions,not desirable to break it
wlp_acad_1998.txt,298459-298518,"Even his insistence on the actual existence of infinite substances, is more comprehensible if we take this as a correlate of his claim that however far we break down the constituents of the body of a living being, at every level there are organisms with unity, and we can still proceed another level down ad infinitum.",,break_down_separate_into_parts,causative,underlying,,abstract,the constituents of the body of a living being,
wlp_mag_2005.txt,3125434-3125448,These initial shots were meant as a warning to the boats to break off.,,break_off_detach,unergative,underlying,,human,,boats refer to people in charge of them
wlp_spok_1990.txt,4891123-4891153,"Even though Baghdad had no immediate response, President Bush's proposal for face-to-face meetings with Iraqi officials had people talking as if peace might be about to break out.",,break_out_start,unaccusative,promoted,,abstract,peace,
wlp_spok_1999.txt,4249769-4249798,"In our process of globalization, I think it's going to really make this one planet and it's going to break down a lot of geographic barriers.",,break_down_destroy,causative,underlying,dynamic,abstract,a lot of geographic barriers,
wlp_mag_2000.txt,4974581-4974620,"Millennial darlings began to break down like virus-ridden websites, from the supercharged (Qualcomm, Oracle) to the superhyped (Amazon, Yahoo!) to the just plain super (Sun, Lucent, AOL).",,break_down_succumb,unaccusative,promoted,,,millenial darlings,
wlp_fic_2004.txt,4828257-4828365,"Did your people check out his place--? AGENT JONAS Colonel Garret kindly showed us the file on you, Marco, you're the shit: I wanted to talk to Corporal Melvin about some unanswered questions involving our reconnaissance mission in Kuwait, back in' 91--# AGENT JONAS (talks over him) And he was n't there, so, what-- you thought it'd be okay to break in and wait for him? Marco carefully, respectfully stacks the photographs of Melvin and turns them over.",,break_in_enter,unergative,underlying,,human,,
wlp_acad_1997.txt,2095782-2095812,"Some industrial capitalists have also joined with multinationals in pushing to reduce restrictions on foreign collaborations, allowing them to break into markets controlled by more established business houses.",,break_into_intrude,unergative,underlying,,human,multinationals,
wlp_news_1994.txt,4616133-4616169,"Phillips says:"" This is probably the toughest position to break into with us, because we've got three veterans that can all play, and some good young guys from last year.",,break_into_intrude,causative,underlying,human,abstract,this,
wlp_spok_1993.txt,2271820-2271843,You are a lawyer and here you are out there proudly proclaiming how happy you are that you helped somebody break the law.,,violate,causative,underlying,human,rule object,the law,
wlp_news_2001.txt,4512705-4512743,"Between commuting from his new home in Phoenix to Denver, Gibbs will be able to break in Dennison and show him the way he has made the Broncos offensive line one of the best in the league.",,break_in_train,causative,underlying,,human,Dennison,break in
wlp_fic_2010.txt,2385222-2385251,"Then Jaeger grabs the foot and tries to break it, twisting as hard as he can, doing nothing but forcing Lucas to fall on his ass again.",,separate_into_parts,causative,underlying,human,body part,it,"""It"" stands for ""foot"".; body part"
wlp_spok_2008.txt,3100337-3100342,And I would not break.,,succumb,unaccusative,promoted,NA,human,I,break emotionally/in spirit
wlp_mag_2012.txt,1317029-1317058,"As for the vase, I did not break it and I'm happy to explain how it ended up shattered all over the floor of Pottery Barn.",,separate_into_parts,causative,underlying,human,artificial,it,"""It"" stands for ""the vase"".; inanimate, artificial, telic, atomic"
wlp_news_2006.txt,4689870-4689890,"As Scelfo said,"" Through turmoil two things can happen: It can make you stronger or break you.",,succumb,causative,underlying,dynamic,human,you,break emotionally/in spirit
wlp_spok_2011.txt,3735607-3735642,"Before we break, another disastrous week for Herman Cain with that interminable pause over's equally fatal pause in the GOP debate last week.",,break_for_pause,unergative,underlying,human,NA,NA,break for
wlp_fic_2011.txt,3219580-3219618,"What I do say is"" Excuse me,"" make myself walk as far as the restroom, turn right instead of left, push through the front door of the restaurant and break into a run.",,break_into_start,unergative,underlying,NA,NA,NA,break into
wlp_news_1997.txt,2686875-2686885,The Falcons are scheduled to break camp later this week.,,dismantle_camp,causative,underlying,organization,abstract,camp,break camp
wlp_news_2007.txt,2159365-2159388,"Below is a quiz that will accurately measure your"" Simpsons"" fandom, and then break it down into quantifiable terms.",,break_down_separate_into_parts,causative,underlying,,abstract,it,
wlp_spok_2001.txt,4261683-4261760,"But I would be looking to add it more like the stocks that are trading in the P/E multiple in the 30 range right now@!VARNEY If valuations really count, if that's the story, and valuations are really coming down, do you think the Nasdaq will break below 2,000? MODIGLIANI: I think it's possible that the Nasdaq can break below 2,000, also because things usually overshoot on both directions.",,unclassified,unaccusative,promoted,,abstract,NASDAQ,
wlp_fic_1997.txt,1944063-1944119,"No people, a few old cars and pickups parked in driveways, front yards, under scraggly trees and tilting carports, nothing but me and the humid heat, sky darkening, and for just an instant I was somehow terrified, as if a great danger were about to break loose upon me.",,break_loose_start,unaccusative,promoted,,,,
wlp_news_2002.txt,4494855-4494876,"@p###3069500 We'll break this news gently: For the next few months, you'll be seeing red.",,reveal,causative,underlying,human,abstract,this news,
wlp_acad_1994.txt,3137974-3138010,"the social in the construction of sexuality and sexual identity that we need to break the deadlock"" (Heath as in n. 18. 56-57).",,end,causative,underlying,human,state,the deadlock,desirable that it is broken
wlp_news_2009.txt,1602337-1602359,Having more students with college degrees strengthens the economy and is a powerful way to begin to break the cycle of poverty.,,end,causative,underlying,dynamic,abstract,the cycle of poverty,desirable that it is broken
wlp_mag_1990.txt,4342245-4342260,"Will it break?"" Daughter,"" says a creek-water voice behind me.",,separate_into_parts,unaccusative,promoted,,,,
wlp_news_1992.txt,4639754-4639823,"The act would establish a rational standard that protects a woman's right Evanston Trim Branches Since we know tree branches can break down our electrical power lines, and we know how costly and inconvenient this is, it's about time the city and the electric company work together to remove all potentially dangerous branches.",,break_down_render_inoperable,causative,underlying,natural,abstract,our electrical power lines,"tree branches: inanimate, natural"
wlp_mag_1992.txt,4466392-4466404,As time went by I tried to break away and work part-time.,,break_away_detach,unergative,underlying,,human,I,
wlp_mag_2001.txt,1064169-1064191,"(Just make sure you steer clear of your genitals, especially if you're using condoms-the oils may break down latex.",,break_down_render_inoperable,causative,underlying,artificial,artificial,latex,"oil; inanimate, natural, homogenous; latex; inanimate, artificial, homogenous"
wlp_mag_2008.txt,4189871-4189894,He'd deliberately break rules and then fastidiously cover the without getting caught.,,violate,causative,underlying,human,rule object,rules,
wlp_mag_2009.txt,1885672-1885727,"(I except Freud and Vaillant)"" Around this time, Dr. Vaillant wrote about you:"" The debate continues in my mind, whether he is going to be the exception and be able to break all the rules of mental health and alcoholism or whether the Greek fates will destroy him.",,violate,causative,underlying,human,rule object,all the rules of mental health and alcoholism,
wlp_mag_2009.txt,3476891-3476917,"One unfortunate law of operating-system upgrades-which applies equally to Macs and to Windows PCs-is that they will break some systems and applications, especially at first.",,render_inoperable,causative,underlying,abstract,abstract,some systems and applications,
wlp_mag_2000.txt,4726590-4726618,"By harvesting DNA from bacteria on that dead whale, Diversa scientists collect the raw genes for enzymes that naturally break down polymers or fats in nasty environments.",,break_down_separate_into_parts,causative,underlying,,natural,polymers or fats,
wlp_spok_2006.txt,2069526-2069555,"Do you think the media voiced enough skepticism whether or not the guy was guilty? Because when the story did break, people were just reporting the story.",,reveal,unaccusative,promoted,NA,abstract,the story,the contextual causer is the media
wlp_spok_1997.txt,3494721-3494727,You break up or stay together.,,break_up_end_relationship,unergative,underlying,,human,you,
wlp_mag_1991.txt,2067486-2067504,"Use a sterile, sharp instrument (a needle or knife should do) to break the blister.",,separate_into_parts,causative,underlying,human,body part,the blister,"inanimate, natural, atomic"
wlp_mag_2011.txt,2984430-2984454,"Wash the leaves, remove the stems, break into bite-size pieces, pat dry with a towel, and drop into a bowl.",,separate_into_parts,causative,underlying,,natural,,implicit object: kale
wlp_mag_1993.txt,460437-460457,The chill factor is the period of cold needed by apples and other deciduous fruits to break their winter rest.,,end,causative,underlying,animate,state,their winter rest,causer: apples and other deciduous fruits
wlp_fic_1999.txt,1371570-1371585,"""I do n't want to break my mother's heart, that's all.",,experience_sorrow,causative,underlying,human,abstract,my mother's heart,body part in metaphorical sense
wlp_mag_1992.txt,525969-525991,"Each cueball-sized egg is moist, soft, and leathery; it will not break when it falls into the deep cavity.",,separate_into_parts,unaccusative,promoted,NA,natural,it,"""It"" stands for ""each cueball-sized egg""; inanimate, natural, atomic"
wlp_news_2007.txt,2576783-2576831,"Although the report did not break down where uninsured residents live by city, a report from the UCLA Center for Health Policy Research released in March showed that the Bay Area did a better job than the rest of the state in providing health coverage.",,break_down_separate_into_parts,causative,underlying,,abstract,where uninsured residents live by city,
wlp_acad_1994.txt,1526196-1526256,"There was another incentive for the Histradut to cooperate with a Labor party-led plan: the Likud, when in power, had tried to limit or eliminate some of the Histradut prerogatives, especially those regarding health care, in an attempt to break both the Histradut's control of the organization and its monopoly of workers' representation.",,end,causative,underlying,human,state,both the Histradut's control of the organization and its monopoly of workers' representation,desirable that it is broken
wlp_acad_1992.txt,3451065-3451093,"Human action, and sometimes a considerable quantity of it, is required to break out of the loop and effect needed corrections or improvements to the system.",,break_out_escape,unergative,underlying,,human,,
wlp_acad_2008.txt,1400481-1400571,Table 4 Psychological Well-Being: BSI Item Mean Scores and Significance Values by Group Legend for Chart:A- ItemB- Same-Sex Attraction MeanC- Same-Sex Attraction SDD- Opposite Sex Attraction MeanE- Opposite Sex Attraction SDF- FG-? H- 95% ending life 1.02 1.52 0.65 1.08 1.98.28-0.15-0.88Feeling lonely 1.36 1.52 0.67 1.09 6.95(*).52 0.17-1.22Trouble concentrating 1.54 1.52 0.96 1.33 4.22.40 0.02-1.14Urges to break or smashthings 1.31 1.50 1.04 1.46 0.83.18-0.32-0.85Note.,,separate_into_parts,causative,underlying,human,artificial,things,"inanimate, artificial, telic, atomic"
wlp_spok_1995.txt,3596084-3596124,"Rev. JESSE JACKSON: Oh, that- SAM DONALDSON: May I just break in a moment here, Reverend Jackson? You've given us your description of that meeting or that boisterous meeting of the board of regents.",,break_in_interrupt,unergative,underlying,,human,,
wlp_spok_1999.txt,1132470-1132522,"(Commercial Break)##223618@!THIS-IS-A-RUSH-TRA: Well, Al Gore had one of the best days he's had in a very long time this week, when he was able to ride in on a white horse to the United States Capitol and break a tie vote on gun control.",,end,causative,underlying,human,abstract,a tie vote on gun control,
wlp_mag_2001.txt,2737442-2737457,And Coyt says that you do n't have to break the bank to find quality.,,cost_too_much,causative,underlying,human,abstract,the bank,break the bank
wlp_spok_1992.txt,1843674-1843730,"We also have a whole generation of**27;220;TOOLONG out on the streets, because of crack use@!JENNINGS What do you do, how do you break through when you're talking to girls on the street like that? Ms. SERRANO: To tell you the truth, we do n't have a hard time.",,break_through_pass_through,unergative,underlying,,human,you,
wlp_spok_2005.txt,2762057-2762075,"But in this week's episode, the food chain seems to break or come to an end.",,end,unaccusative,promoted,NA,abstract,the food chain,"""break or come to an end"""
wlp_fic_2000.txt,1328893-1328907,"He stroked them ever so softly, as if he feared they would break.",,separate_into_parts,unaccusative,promoted,NA,body part,they,"""They"" stands for ""my feet"".; body part"
wlp_fic_2002.txt,3046407-3046437,"Do I just come out with it? Do I try to break it gently? I have to say something, just start speaking and take it from there.",,reveal,causative,underlying,human,abstract,it,"""It"" stands for an information object."
wlp_news_1999.txt,2961437-2961461,"""So why did parents trade high-fives and teachers break into song upon learning that Rojas will leave? Sam Cohen knows.",,break_into_start,unergative,underlying,,human,teachers,
wlp_fic_1994.txt,4555638-4555658,"If it ever happened, he said, he would break contact, and we would never see him again.",,end,causative,underlying,human,abstract,contact,
wlp_acad_2003.txt,2513845-2513874,"A brilliant little girl manipulated her parents to such an extent that she formed an intellectual alliance with her scientist father, one which her mother could not break.",,end,causative,underlying,human,abstract,an intellectual alliance with her scientist father,
wlp_fic_2008.txt,4617319-4617329,Someone will think you're not home and break in.,,break_in_enter,unergative,underlying,,,,
wlp_spok_2007.txt,2025316-2025363,"Now, the significance of this in the present political situation is that it sectarian leanings, who has been saying, if you want to break the cycle of violence here, go after the Sunnis.",,end,causative,underlying,human,dynamic,the cycle of violence,desirable that it is broken
wlp_fic_1993.txt,411955-411979,"She never spoke those feelings outright, but she brittled up and rattled plates from the cupboard as if she meant to break them.",,separate_into_parts,causative,underlying,human,artificial,plates,"inanimate, artificial, telic, atomic"
wlp_news_2008.txt,800128-800147,"""All hell would break loose,"" said Gayle Fallon, president of the Houston Federation of Teachers.",,break_loose_start,unaccusative,promoted,,,,
wlp_news_2000.txt,4066565-4066600,"Q. B-96 seems to nationally break a certain kind of risque novelty hit, from Gillette's"" Short, Short Man"" (1994) to Sisqo's"" Thong Song"" today.",,unclassified,causative,underlying,human,abstract,a certain kind of risque novelty hit,B96 is a music group.
wlp_spok_1995.txt,3121606-3121694,"So our first goal better be to come back every morning and say, What am I really here for and what am I really trying to accomplish and what-- do I really want this team to win? And if so, how do I make it better? Or do I want a good-- find a good reason for us to break down and be incompetent?'@!LIMBAUGH: Basically what he's saying there is keep your eye on the long term.",,break_down_succumb,unaccusative,promoted,,human,us,
wlp_spok_2004.txt,3026125-3026134,We've got to break it off right there.,,break_off_end,causative,underlying,,unknown,,
wlp_fic_2005.txt,4541660-4541679,"We got ta break it into doses, sell em off round the high, maybe some by Shorecliffs.",,separate_into_parts,causative,underlying,,unknown,,
wlp_fic_1996.txt,1056022-1056035,"""I want to break it to Pop slowly,"" she said.",,reveal,causative,underlying,human,abstract,it,"""It"" stands for an information object."
wlp_news_1992.txt,131716-131755,"Though the union's leadership endorsed the contracts, about 57 percent of the membership voted against them, and they remain intensely unpopular with many union members, who have called them attempts to break the union.",,end,causative,underlying,human,organization,the union,
wlp_fic_1992.txt,3006638-3006671,"Larissa noticed that a few suspected that, even in this brief time, Sardan had managed to break his share of hearts.",,experience_sorrow,causative,underlying,human,abstract,his share of hearts,body part in metaphorical sense
wlp_spok_1990.txt,530937-530975,"They failed to pick up the phone and call the police within 24 hours@!SCHADLER voice-over If DHS did, in fact, break the law, it would be Ronnie Earle's job to prosecute the case.",,violate,causative,underlying,human,rule object,the law,
wlp_mag_2001.txt,4414908-4414925,"The tribal dialects completely baffled the enemy, who repeatedly tried but failed to break the codes.",,decipher,causative,underlying,human,information object,the codes,
